ID,Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,Power BI,Flink,MongoDB,Google Analytics,Job_Title_Sim,Seniority_Level,Employee_Degree,Ownership_Category
0,Data Scientist,3.8,Albuquerque,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,53000,91000,72000.0,Tecolote Research,New Mexico,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Masters,Corporate
1,Healthcare Data Scientist,3.4,Linthicum,1984,Other Organization,Health Care Services & Hospitals,Health Care,0,0,63000,112000,87500.0,University of Maryland Medical System,Maryland,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Other
2,Data Scientist,4.8,Clearwater,2010,Company - Private,Security Services,Business Services,0,0,80000,90000,85000.0,KnowBe4,Florida,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
3,Data Scientist,3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,56000,97000,76500.0,PNNL,Washington,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Government
4,Data Scientist,2.9,New York,1998,Company - Private,Advertising & Marketing,Business Services,0,0,86000,143000,114500.0,Affinity Solutions,New York,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
5,Data Scientist,3.4,Dallas,2000,Company - Public,Real Estate,Real Estate,0,0,71000,119000,95000.0,CyrusOne,Texas,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Data Scientist,Not Specified,Not Specified,Corporate
6,Data Scientist,4.1,Baltimore,2008,Company - Private,Banks & Credit Unions,Finance,0,0,54000,93000,73500.0,ClearOne Advantage,Maryland,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
7,Data Scientist,3.8,San Jose,2005,Company - Private,Consulting,Business Services,0,0,86000,142000,114000.0,Logic20/20,California,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
8,Research Scientist,3.3,Rochester,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,38000,84000,61000.0,Rochester Regional Health,New York,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Healthcare
9,Data Scientist,4.6,New York,2009,Company - Private,Internet,Information Technology,0,0,120000,160000,140000.0,<intent>,New York,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
10,Data Scientist,3.5,San Jose,2011,Company - Private,Other Retail Stores,Retail,0,0,126000,201000,163500.0,Wish,California,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
11,Data Scientist,4.1,Chantilly,1968,Company - Public,Research & Development,Business Services,0,0,64000,106000,85000.0,ManTech,Virginia,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
12,Staff Data Scientist - Technology,3.2,Plano,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,106000,172000,139000.0,Walmart,Texas,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
13,Data Analyst,4.1,Seattle,2012,Company - Private,Advertising & Marketing,Business Services,0,0,46000,85000,65500.0,Yesler,Washington,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
14,Data Scientist,3.7,Cambridge,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,83000,144000,113500.0,Takeda Pharmaceuticals,Massachusetts,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
15,Data Engineer I,3.6,Newark,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,0,0,102000,190000,146000.0,Audible,New Jersey,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
16,"Scientist I/II, Biology",3.9,Cambridge,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,67000,137000,102000.0,Blueprint Medicines,Massachusetts,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
17,Customer Data Scientist,4.3,Mountain View,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,118000,189000,153500.0,h2o.ai,California,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
18,Data Scientist - Health Data Analytics,4.2,San Francisco,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,110000,175000,142500.0,Nuna,California,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
19,Data Scientist,4.0,Denver,1915,Nonprofit Organization,Insurance Carriers,Insurance,0,0,64000,111000,87500.0,Pinnacol Assurance,Colorado,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Nonprofit
20,Data Scientist,3.2,Seattle,2012,Company - Private,Internet,Information Technology,0,0,81000,130000,105500.0,Porch,Washington,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
21,Senior Data Scientist / Machine Learning,3.9,Dallas,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,0,0,73000,119000,96000.0,Health IQ,Texas,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,PhD,Corporate
22,Data Scientist - Quantitative,3.8,Chicago,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,0,0,86000,139000,112500.0,Truckstop.com,Illinois,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,Not Specified,Masters,Corporate
